epoch,train_loss,val_loss,relation_f1,relation_f1_no_relation,relation_f1_support,relation_f1_attack,source_acc,target_acc
1,0.8961623390110172,0.7119819728597518,0.4995775160033798,0.8041060735671514,0.6946264744429882,0.0,0.6482617586912065,0.5879345603271984
2,0.6465748809430064,0.5404616636374304,0.6306370246668754,0.8,0.764638346727899,0.32727272727272727,0.689161554192229,0.7811860940695297
3,0.48301544876731173,0.5043316576930303,0.6977027836746061,0.8588850174216028,0.7852437417654808,0.4489795918367347,0.7638036809815951,0.8087934560327198
4,0.3753279296111087,0.4520081758739487,0.7371777890065134,0.863514719000892,0.8025641025641026,0.5454545454545454,0.7903885480572597,0.7934560327198364
5,0.3090218865141577,0.46391530751791454,0.7375407297718114,0.8748874887488749,0.8192161820480405,0.5185185185185185,0.8179959100204499,0.8128834355828221
