epoch,train_loss,val_loss,relation_f1,relation_f1_no_relation,relation_f1_support,relation_f1_attack,source_acc,target_acc
1,0.7848202071627792,0.6056577915385846,0.24191656772291392,0.1596244131455399,0.5661252900232019,0.0,0.6012269938650306,0.6175869120654397
2,0.5607286602258682,0.49958066516105204,0.501556115967531,0.6016646848989299,0.6876190476190476,0.2153846153846154,0.7239263803680982,0.7556237218813906
3,0.4302808687394979,0.4617427526522548,0.5512344293763779,0.6498855835240275,0.7007874015748031,0.30303030303030304,0.745398773006135,0.7556237218813906
4,0.3356267174895929,0.44261441325708745,0.6080408168530774,0.7607105538140021,0.7856341189674523,0.2777777777777778,0.7750511247443763,0.7883435582822086
5,0.2750597327339406,0.4696633366327132,0.6698366563139698,0.787321063394683,0.7739130434782608,0.4482758620689655,0.7914110429447853,0.7914110429447853
