model_name,fold_number,accuracy,precision_macro_avg,recall_macro_avg,f1_score_macro_avg
RGCN,1,0.9641,0.9504,0.9196,0.9337
RGCN,2,0.9793,0.9029,0.9827,0.9351
RGCN,3,0.9828,0.8973,0.9335,0.9138
RGCN,4,0.9795,0.8506,0.9847,0.8960
RGCN,5,0.9702,0.8741,0.9820,0.9132
RGCN,6,0.9765,0.8217,0.9493,0.8640
RGCN,7,0.9979,0.9697,0.9984,0.9833
RGCN,8,1.0000,1.0000,1.0000,1.0000
RGCN,9,0.9979,0.9986,0.9167,0.9517
RGCN,10,0.9757,0.8827,0.9393,0.9064
RGCN,Avg,0.9824,0.9148,0.9606,0.9297
