model_name,fold_number,accuracy,f1_score_macro_avg
MLP,1,0.7954,0.5326
MLP,2,0.9693,0.6489
MLP,3,0.9159,0.6125
MLP,4,0.9111,0.6271
MLP,5,0.9499,0.6320
MLP,6,0.7790,0.5229
MLP,7,0.8149,0.5462
MLP,8,0.9323,0.6422
MLP,9,0.9903,0.6626
MLP,10,0.8695,0.6360
