model_name,fold_number,accuracy,f1_score_macro_avg
GNN_raw_embeddings,1,0.8960,0.7735
GNN_raw_embeddings,2,0.9864,0.9141
GNN_raw_embeddings,3,0.9871,0.9087
GNN_raw_embeddings,4,0.9975,0.9782
GNN_raw_embeddings,5,0.9932,0.9617
GNN_raw_embeddings,6,0.9924,0.9231
GNN_raw_embeddings,7,0.9931,0.9411
GNN_raw_embeddings,8,0.9981,0.6660
GNN_raw_embeddings,9,0.9981,0.9518
GNN_raw_embeddings,10,0.9843,0.9057
