model_name,fold_number,accuracy,f1_score_macro_avg
GNN_raw_embeddings,1,0.9283,0.8868
GNN_raw_embeddings,2,0.9955,0.9725
GNN_raw_embeddings,3,0.9908,0.9490
GNN_raw_embeddings,4,0.9811,0.9497
GNN_raw_embeddings,5,0.9947,0.9800
GNN_raw_embeddings,6,0.9883,0.9081
GNN_raw_embeddings,7,0.9957,0.9681
GNN_raw_embeddings,8,1.0000,1.0000
GNN_raw_embeddings,9,0.9915,0.8861
GNN_raw_embeddings,10,0.9729,0.9070
