model_name,fold_number,accuracy,precision,recall,f1-score
GNN,1,0.9684,0.9413,0.8748,0.9022
GNN,2,1.0,1.0,1.0,1.0
GNN,3,0.9749,0.8531,0.9708,0.895
GNN,4,0.9953,0.9474,0.9971,0.97
GNN,5,0.9491,0.8304,0.9717,0.8715
GNN,6,0.9178,0.7348,0.9488,0.7524
GNN,7,0.9979,0.9697,0.9984,0.9833
GNN,8,1.0,1.0,1.0,1.0
GNN,9,0.9852,0.7879,0.9904,0.8396
GNN,10,0.9343,0.7956,0.9606,0.8319
