model_name,fold_number,accuracy,precision,recall,f1-score
BERT,1,0.7565,0.5854,0.3344,0.2893
BERT,2,0.7559,0.252,0.3333,0.287
BERT,3,0.7864,0.6062,0.6425,0.6218
BERT,4,0.7559,0.252,0.3333,0.287
BERT,5,0.7312,0.5663,0.5785,0.5628
BERT,6,0.7559,0.252,0.3333,0.287
BERT,7,0.7383,0.2927,0.3298,0.2927
BERT,8,0.8034,0.6737,0.6684,0.6619
BERT,9,0.7917,0.5932,0.6005,0.5963
BERT,10,0.7453,0.4321,0.5036,0.4556
